Image number,Electron Energy,Opening,H_Length,H_Area,H_Height_1,H_Xpeak_1,H_Half max left_1,H_Half max right_1,H_Height_2,H_Xpeak_2,H_Half max left_2,H_Half max right_2,V_Opening,V_Length,V_Area,V_Height_1,V_Xpeak_1,V_Half max left_1,V_Half max right_1,V_Height_2,V_Xpeak_2,V_Half max left_2,V_Half max right_2,D_Opening,D_Length,D_Area,D_Height_1,D_Xpeak_1,D_Half max left_1,D_Half max right_1,D_Height_2,D_Xpeak_2,D_Half max left_2,D_Half max right_2
2796,128.5,0.872,0.285,4.713,146.851,0.0384,0.0268,0.049,162.492,0.381,0.369,0.393,0.872,0.273,3.878,140.447,0.0291,0.0172,0.0409,138.937,0.368,0.356,0.383,0.872,0.197,2.92,152.75,0.0265,0.0121,0.039,74.2,0.267,0.258,0.27
2797,130.5,0.867,0.295,3.001,136.202,0.0279,0.0196,0.0373,125.277,0.37,0.362,0.377,0.867,0.292,3.203,149.024,0.0373,0.0254,0.0467,127.093,0.376,0.367,0.383,0.867,0.162,1.035,52.585,0.0393,0.0352,0.0465,149.748,0.275,0.264,0.286
2798,132.5,0.87,0.239,2.183,150.437,0.029,0.023,0.0385,147.755,0.368,0.357,0.38,0.87,0.274,4.286,152.41,0.0371,0.0283,0.0453,141.291,0.375,0.357,0.391,,,,,,,,,,,
2799,134.5,0.878,0.27,2.552,104.574,0.0307,0.0239,0.0409,147.033,0.369,0.359,0.377,0.878,0.28,3.014,105.546,0.0394,0.0313,0.051,143.022,0.374,0.363,0.388,,,,,,,,,,,
2800,136.5,0.872,0.276,3.402,149.315,0.0487,0.0409,0.058,150.658,0.384,0.375,0.391,0.872,0.278,2.971,148.774,0.0365,0.028,0.0465,146.132,0.367,0.358,0.378,,,,,,,,,,,
2801,138.5,0.87,0.258,2.279,150.738,0.0377,0.0299,0.05,137.351,0.37,0.363,0.379,0.87,0.266,2.76,144.63,0.0418,0.0298,0.0537,134.079,0.37,0.359,0.38,,,,,,,,,,,
2802,140.5,0.874,0.275,2.83,150.561,0.0351,0.0234,0.0454,146.542,0.364,0.354,0.371,0.874,0.278,2.631,150.016,0.0508,0.0422,0.0643,137.961,0.379,0.369,0.388,,,,,,,,,,,
2803,142.5,0.9,0.3,2.963,158.697,0.0251,0.018,0.0336,123.961,0.361,0.353,0.369,0.9,0.275,2.776,145.939,0.0369,0.0246,0.0473,139.47,0.369,0.359,0.379,,,,,,,,,,,
2804,144.5,0.891,0.283,2.906,140.018,0.0328,0.0238,0.0428,126.34,0.367,0.359,0.374,0.891,0.266,1.96,141.973,0.0285,0.0187,0.0388,135.428,0.359,0.351,0.367,,,,,,,,,,,
2805,146.5,0.9,0.268,2.928,136.923,0.027,0.0202,0.0371,123.28,0.359,0.35,0.366,0.9,0.264,2.91,133.31,0.0342,0.0261,0.0456,128.329,0.363,0.356,0.372,,,,,,,,,,,
2806,148.5,0.893,0.276,2.355,119.788,0.0398,0.0301,0.0485,112.541,0.366,0.358,0.374,0.893,0.273,2.282,125.336,0.0343,0.028,0.0461,125.784,0.362,0.354,0.372,0.893,0.206,2.252,41.309,0.039,0.0292,0.0446,134.976,0.268,0.261,0.279
2807,150.5,0.894,0.294,3.262,118.976,0.0369,0.0307,0.0468,101.225,0.363,0.356,0.371,0.894,0.278,2.352,118.576,0.0335,0.027,0.0442,101.937,0.358,0.349,0.368,0.894,0.193,2.496,123.451,0.037,0.031,0.0462,39.979,0.265,0.26,0.273
2809,152.5,0.882,0.276,2.134,93.687,0.0398,0.0302,0.048,84.127,0.361,0.276,0.37,0.882,0.279,1.901,100.479,0.0285,0.0204,0.0393,90.739,0.35,0.342,0.36,0.882,0.185,1.767,36.079,0.0482,0.0417,0.0539,93.011,0.272,0.258,0.279
2810,154.5,0.894,0.282,3.582,129.362,0.0313,0.0252,0.0396,93.035,0.353,0.347,0.361,0.894,0.283,5.414,128.499,0.0329,0.0252,0.0417,101.619,0.353,0.346,0.362,0.894,0.181,1.891,45.828,0.0245,0.0183,0.0348,106.932,0.25,0.243,0.264
2811,156.5,0.889,0.282,3.727,147.435,0.0398,0.0306,0.0462,70.96,0.358,0.352,0.367,0.889,0.285,3.548,131.278,0.0281,0.0219,0.0373,98.235,0.346,0.337,0.355,0.889,0.185,2.998,52.269,0.0332,0.0258,0.044,113.636,0.257,0.249,0.264
2812,158.5,0.885,0.289,2.232,69.77,0.0212,0.0133,0.0304,56.266,0.344,0.335,0.346,0.885,0.278,2.04,71.701,0.0298,0.0201,0.0392,58.857,0.342,0.337,0.353,0.885,0.194,2.48,73.115,0.0252,0.02,0.0336,32.84,0.247,0.241,0.252
2813,160.5,0.899,0.282,2.898,83.3,0.306,0.0255,0.0406,66.584,0.348,0.342,0.354,0.899,0.277,3.093,82.077,0.0315,0.021,0.0437,69.235,0.343,0.333,0.355,0.899,0.186,2.336,44.958,0.0281,0.0231,0.0371,89.157,0.249,0.241,0.265
2814,162.5,0.885,0.277,2.374,69.845,0.0311,0.0244,0.0376,55.71,0.346,0.338,0.354,0.885,0.272,3.56,67.297,0.0312,0.0204,0.0391,60.899,0.341,0.332,0.351,0.885,0.189,2.296,82.937,0.0575,0.0428,0.0642,48.937,0.268,0.266,0.278
2815,164.5,0.89,0.285,4.01,69.64,0.0289,0.0173,0.0358,70.724,0.341,0.332,0.349,0.89,0.28,3.79,64.482,0.0295,0.021,0.0363,81.789,0.336,0.332,0.347,0.89,0.186,2.622,29.967,0.0282,0.0174,0.0383,77.021,0.248,0.242,0.258
2816,166.5,0.9,0.281,3.699,67.383,0.0204,0.0136,0.0265,53.632,0.33,0.324,0.34,0.9,0.25,2.906,56.124,0.0285,0.0228,0.0375,62.621,0.332,0.327,0.342,,,,,,,,,,,
2817,168.5,0.889,0.283,4.622,55.356,0.0309,0.0283,0.038,49.257,0.344,0.336,0.35,0.889,0.258,3.474,37.964,0.031,0.0161,0.0443,55.118,0.336,0.329,0.346,,,,,,,,,,,
